trip_id,pickup_datetime,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,distance_km,weather_condition,temperature_c,precipitation_mm,traffic_level,passenger_count,duration_min
T100000,2024-02-02 15:58:44,40.91524487301521,-74.2979158814247,40.839496783891384,-74.33759729366987,9.059478684169036,clear,10.204852759833887,0.31138745843836185,medium,2,25.663367237062992
T100001,2024-10-10 06:25:01,41.0802094133643,-74.19395796971266,41.139924092879305,-74.26875485408063,9.130038145603567,clear,28.925959668186117,0.018810514521186233,high,3,32.8555241992283
T100002,2024-08-27 13:44:43,41.01855771554574,-73.96694899281448,41.10474716118393,-73.92130141266175,10.319732416014629,clear,30.851649949792282,0.13803909831040015,medium,1,23.107197179511346
T100003,2024-06-09 15:06:03,40.738852228355995,-73.61817326550585,40.771684232798044,-73.56590669745658,5.719226941914858,clear,32.41240546876106,0.009285815957686258,high,4,19.105631257677505
T100004,2024-06-07 11:35:55,40.96897209823746,-73.70324688000396,40.945626051701126,-73.64978761059025,5.1857437250252385,clear,17.727034106192257,0.005195871225789261,medium,2,13.596813542627485
T100005,2024-11-10 05:54:35,40.44923132050733,-74.19795199329,40.43194703901343,-74.20959770346752,2.1598868579460286,clear,19.37877621726174,0.04747069681030977,high,3,6.812531529389256
T100006,2024-02-01 10:56:42,40.80059064330942,-73.81151368772592,40.88612148291483,-73.84706966592991,9.96980959715882,cloudy,28.857422610253998,0.08475202022108114,low,4,21.36897658231015
T100007,not-a-timestamp,41.04700888911013,-74.49834316992442,41.08878020074494,-74.56049854578792,6.980337470741225,clear,7.3964811488144235,0.003918595038279458,high,3,24.70091532690739
T100008,2024-03-14 17:42:18,40.677469603243516,-74.16735895250905,40.70483224894385,-74.21172816458481,4.821961362111615,fog,18.299493849734574,0.08432064743010302,high,2,16.865394421085146
T100009,2024-02-04 11:15:08,41.07207044076418,-73.66040477583317,41.188709509790364,-73.73565442373662,14.419882605974998,clear,23.404114704540493,0.045810246110356084,low,2,32.206005447987025
T100010,2024-07-11 16:34:57,40.55447956771037,-74.34879880209418,40.504094183723055,-74.37078952748713,5.902831590788678,clear,17.812604738906177,0.12718509307352377,medium,1,16.218705134479613
T100011,2024-12-23 01:51:01,40.47394366667337,-74.14660473617843,40.46940622302533,-74.06364332130313,7.035734785363097,clear,28.772858933949063,0.0076319231547069336,low,2,15.481229598643704
T100012,2024-09-26 06:50:11,40.76733363525719,-74.49895668292913,40.77683352956758,-74.52619444248187,2.5252328789411553,cloudy,20.805134324603305,0.04335531582888565,severe,3,12.139337492991004
T100013,2024-10-05 13:50:18,41.03507281038686,-74.4768672737937,41.024493471939856,-74.47044669840321,1.2937934466309822,rain,10.244655522470909,8.148166956322402,medium,2,6.477849908900621
T100014,2024-09-19 14:18:30,40.61789545312132,-74.35398100899734,40.52587723060097,-74.32662309940694,10.489633979927598,fog,16.813354229479796,0.06070183171461871,low,4,27.41159099855664
T100015,2024-10-14 16:46:32,40.960112223579266,-74.39813694470145,41.01030576207634,-74.41618590248696,5.783232886253947,clear,12.813175910051958,0.1430045035861586,medium,2,15.948574355033188
T100016,2024-07-06 20:10:25,40.5184380861162,-74.010270656268,40.480877492934326,-74.0287072201143,4.457987750292722,clear,28.395696091342174,0.10935080266014159,low,1,9.985346968740087
T100017,2024-02-16 21:20:52,40.92189927720066,-73.59999563390912,40.88344266214383,-73.53570068625359,6.890894918231853,fog,26.45257967765851,0.10668929481001499,medium,3,22.65187099457806
T100018,2024-11-03 08:20:04,40.789918858971205,-74.41535829359717,40.77196638648539,-74.40603716273863,2.144960497721649,clear,26.03782569114938,0.1057569029454974,medium,2,4.783472537541297
T100019,2024-06-13 20:10:57,40.52251188277606,-73.63016313048365,40.511000420388775,-73.57370125412304,4.941506371963845,cloudy,25.99730637066176,0.08670677217484249,high,1,14.532303568533766
T100020,2024-07-02 03:04:58,40.90266107460633,-73.8318421616765,40.89658580103361,-73.7124516837052,10.057189902643643,storm,27.235481073046323,5.593032476674692,low,1,32.73612367829253
T100021,2024-05-15 17:05:01,40.8996292794195,-74.33110512457164,40.94781483260598,-74.37460018448508,6.4855305036265465,clear,38.5908555722627,0.01323554439698626,severe,2,28.544704183419874
